Year,Text
1900,"1900 Labour Party Manifesto - 13/06/2024, 13:03

WE ARE NOT CONNECTED IN ANY WAY TO THE LABOUR PARTY.
Anyone seeking the official site of the UK's Labour Party should go to
www.labour.org.uk

Home > Labour Party Manifestos > 1900 > Manifesto text in a single long
file

1900 Labour Party General
Election Manifesto

 

Adequate Maintenance from National Funds for the Aged Poor
Public Provision of Better Houses for the People

Useful Work for the Unemployed

Adequate Maintenance for Children

No Compulsory Vaccination

Public Control of the liquor Traffic

Nationalisation of Land and Railways

Relief of Local Rates by Grants from the National Exchequer
Legislative Independence for all parts of the Empire

Abolition of the Standing Army, and the Establishment of a Citizen Force
The People to decide on Peace or War

Graduated Income-Tax

Shorter Parliaments

Adult Suffrage

Registration Reform

Payment of Members

The object of these measures is to enable the people ultimately to obtain the
Socialisation of the Means of Production, Distribution, and Exchange, to be
controlled by a Democratic State in the interests of the entire Community,
and the Complete Emancipation of labour from the Domination of
Capitalism and Landlordism, with the Establishment of Social and
Economic Equality between the Sexes.

Political News.co.uk

WE ARE NOT CONNECTED IN ANY WAY TO THE LABOUR PARTY.
Anyone seeking the official site of the UK's Labour Party should go to

http://www. labour-party.org.uk/manifestos/1900/1900-labour-manifesto.shtml Page 1 of 2

"
1906,"1906 Labour Party Manifesto - 13/06/2024, 13:03

WE ARE NOT CONNECTED IN ANY WAY TO THE LABOUR PARTY.
Anyone seeking the official site of the UK's Labour Party should go to
www.labour.org.uk

Home > Labour Party Manifestos > 1906 > Manifesto text in a single long
file

1906 Labour Party General
Election Manifesto

 

This election is to decide whether or not Labour is to be fairly represented in
Parliament.

The House of Commons is supposed to be the people's House, and yet the
people are not there.

Landlords, employers, lawyers, brewers, and financiers are there in force.
Why not Labour?

The Trade Unions ask the same liberty as capital enjoys. They are refused.
The aged poor are neglected.

The slums remain; overcrowding continues, whilst the land goes to waste.
Shopkeepers and traders are overburdened with rates and taxation, whilst the
increasing land values, which should relieve the ratepayers, go to people

who have not earned them.

Wars are fought to make the rich richer, and underfed schoolchildren are still
neglected.

Chinese Labour is defended because it enriches the mine owners.

The unemployed ask for work, the Government gave them a worthless Act,
and now, when you are beginning to understand the causes of your poverty,
the red herring of Protection is drawn across your path.

Protection, as experience shows, is no remedy for poverty and
unemployment. It serves to keep you from dealing with the land, housing,
old age, and other social problems!

You have it in your power to see that Parliament carries out your wishes. The
Labour Representation-Executive appeals to you in the name of a million
Trade Unionists to forget all the political differences which have kept you
apart in the past, and vote for [candidate name].

http://www. labour-party.org.uk/manifestos/1906/1906-labour-manifesto.shtml Page 1 of 2

"
1910_January,"January 1910 Labour Party Manifesto - 13/06/2024, 13:04

WE ARE NOT CONNECTED IN ANY WAY TO THE LABOUR PARTY.
Anyone seeking the official site of the UK's Labour Party should go to
www.labour.org.uk

Home > Labour Party Manifestos > January 1910 > Manifesto text in a
single long file

 

January 1910 Labour Party
General Election Manifesto

A general election has been forced upon the country by the action of the
House of Lords rejecting the Budget. The great question you are to decide is
whether the Peers or the people are to rule this country.

Each Session since the last general election important Bills, upon which the
House of Commons had spent much time, have been mutiliated or destroyed
by the House of Lords, an irresponsible body which represents nothing but
its own class interests. Not content with this, they now claim the right to
decide what taxes shall be paid, upon whom they shall be levied, and for
what purpose they shall be spent. They also claim to dictate the date at
which Parliament shall be dissolved. The time has come to put an end to
their power to override the will of the Commons.

The country has allowed landowners to pocket millions of pounds every year
in the share of unearned increment, and yet they object to pay a small tax
upon what, in justice, should belong to the State. They wish at all costs to
preserve their power to plunder the people.

The Labour party welcomes this opportunity to prove that the feudal age is
past and that the people are no longer willing to live on the sufferance of the
Lords.

The issues you have to decide are simple. Our present system of land
ownership has devastated our countryside, has imposed heavy burdens upon
our industries, has cramped the development of our towns, and has crippled
capital and impoverished labour.

The Lords must go

At this crisis the Labour party mertis your support. It comes with great
achievements and with a determination to do much more.

In 1906 it pledged itself to restore to trade unions the same liberty as capital

enjoyed during trade disputes.
THAT PLEDGE HAS BEEN FULFILLED

http://www. labour-party.org.uk/manifestos/1910/jan/1910-jan-labour-manifesto.shtml Page 1 of 2

January 1910 Labour Party Manifesto - 13/06/2024, 13:04

It pledged itself to insist upon old-age pension.
THAT PLEDGE HAS BEEN FULFILLED

It pledged itself to help drastic housing reform.
THAT PLEDGE HAS BEEN FULFILLED

It pledged itself to work for the relief of the burdens on persons of small or
moderate means by the taxation of unearned incomes and land values.
THAT PLEDGE HAS BEEN FULFILLED

It pledged itself to pay special attention to the unemployed, and to compel
any and every Government to contribute to the solution of this problem.
THAT PLEDGE HAS BEEN FULFILLED

The experience of the last four years has demonstrated the value of the
Labour Party acting on independent lines. There still remain many problems
to be solved.

¢ The right to work has still to be won, but is now well within the range
of practical politics.

e The Poor Law must be broken up and pauperism abolished.

¢ Old-age pensions must be extended and increased on their present
non-contributory basis.

¢ Restrictions upon the franchise, including the sex bar, must be swept
away.

The working and middle classes are still overburdened with rates and taxes.
All these problems will demand the attention of an active, determined, and
independent party, drawn from the people and in touch with the people. The
Labour Party, therefore, appeals to you to renew your confidence in it, to add
to its ranks, and increase its power. Vote for the Labour candidates. The land
for the people. The wealth for the wealth producers. Down with privilege.
Up with the people.

Political News.co.uk

WE ARE NOT CONNECTED IN ANY WAY TO THE LABOUR PARTY.
Anyone seeking the official site of the UK's Labour Party should go to
www.labour.org.uk

Copyright © 2001 PoliticalStuff.co.uk . All rights reserved.

 

http://www. labour-party.org.uk/manifestos/1910/jan/1910-jan-labour-manifesto.shtml Page 2 of 2

"
1910_December,"December 1910 Labour Party Manifesto - 13/06/2024, 13:04

WE ARE NOT CONNECTED IN ANY WAY TO THE LABOUR PARTY.
Anyone seeking the official site of the UK's Labour Party should go to
www.labour.org.uk

Home > Labour Party Manifestos > December 1910 > Manifesto text ina
single long file

December 1910 Labour Party
General Election Manifesto

 

You are again being asked to return a majority pledged to remove the House
of Lords as a block in the working of our Constitution. Do it, and do it
emphatically.

The Lords must go

But you ought not to allow this to cover up the questions in which you are
specially interested.

The iniquitous Osborne Judgement

The iniquitous Osborne Judgement, which deprives organised Labour of the
power to protect itself by political action, either locally or nationally, must
be reversed.

Do you think that you protect yourselves if the doors of the House of
Commons are closed to You?

The Osbourne Judgement is only the latest example of Judge-made Law,
from which you have already suffered so much.

Payments to members

You should also support payment of Members which, with the reversal of the
Osborne Judgement, is now the Charter of the Trade Unionist.

The New Parliament, will be called upon to deal with the right to work;
sickness insurance, land reform; adult suffrage; Poor Law reform; factory

inspection; medical treatment for school children.

None of these subjects can be properly considered unless there is a strong
and independent Party of Labour sitting in the House of Lords.

Let all petty differences go to the four winds. Now is the time to unite. The

http://www. labour-party.org.uk/manifestos/1910/dec/1910-dec-labour-manifesto.shtml Page 1 of 2

December 1910 Labour Party Manifesto - 13/06/2024, 13:04

poverty of one is the poverty of all. Let those who suffer join to remove their
suffering. It can be removed in no other way.

The Labour Party appeals to you to stand by yourselves and vote for the
Labour candidates.

Political News.co.uk

WE ARE NOT CONNECTED IN ANY WAY TO THE LABOUR PARTY.
Anyone seeking the official site of the UK's Labour Party should go to
www.labour.org.uk

Copyright © 2001 PoliticalStuff.co.uk . All rights reserved.

 

http://www. labour-party.org.uk/manifestos/1910/dec/1910-dec-labour-manifesto.shtml Page 2 of 2

"
1918,"1918 Labour Party Manifesto - 13/06/2024, 13:05

WE ARE NOT CONNECTED IN ANY WAY TO THE LABOUR PARTY.
Anyone seeking the official site of the UK's Labour Party should go to
www.labour.org.uk

Home > Labour Party Manifestos > 1918 > Manifesto text in a single long
file

1918 Labour Party General
Election Manifesto

 

Labour's call to the people

The Labour Party has left the Coalition, and is appealing to the men and
